dataset,seed,dr_method,dimension,embedding,circuit_evals,kta,centered_kta,variance,effective_rank,fro_norm,svm_train_acc,svm_test_acc
gaussian,2,rp,6,angle_reupload,250000,-0.0022439141757786274,-0.010852574370801449,0.029504122212529182,1.96303129196167,143.62586975097656,0.5,0.49333333333333335
gaussian,2,rp,8,zz,250000,0.03372562676668167,0.08701248466968536,0.05170097574591637,18.791648864746094,205.22669982910156,0.9142857142857143,0.9066666666666666
gaussian,2,rp,8,angle_reupload,250000,0.00547071686014533,0.02019716612994671,0.01858450658619404,2.0102157592773438,101.53643035888672,0.4828571428571429,0.48
gaussian,2,rp,10,zz,250000,0.08236991614103317,0.17853914201259613,0.04162686690688133,32.580326080322266,163.12765502929688,0.9457142857142857,0.9466666666666667
gaussian,2,rp,10,angle_reupload,250000,0.020721666514873505,0.0637323409318924,0.008943368680775166,2.4320895671844482,64.90531158447266,0.4742857142857143,0.54
gaussian,2,umap,2,zz,250000,0.1440815031528473,0.24034404754638672,0.0982891246676445,5.784405708312988,241.2210693359375,0.9057142857142857,0.9333333333333333
gaussian,2,umap,2,angle_reupload,250000,0.08736556023359299,0.1638297587633133,0.09291719645261765,3.413893461227417,237.3420867919922,0.5028571428571429,0.5333333333333333
gaussian,2,umap,4,zz,250000,0.24958327412605286,0.40102657675743103,0.09461565315723419,7.464678764343262,227.5049285888672,0.9257142857142857,0.9666666666666667
gaussian,2,umap,4,angle_reupload,250000,0.06752608716487885,0.14093077182769775,0.011406478472054005,3.0910937786102295,69.03398895263672,0.4,0.42
gaussian,2,umap,6,zz,250000,0.24413134157657623,0.34281933307647705,0.08333741873502731,11.65597152709961,186.8518524169922,0.94,0.9666666666666667
gaussian,2,umap,6,angle_reupload,250000,-0.06186502426862717,-0.09576703608036041,0.0007165235001593828,4.582363128662109,16.133440017700195,0.3342857142857143,0.36666666666666664
gaussian,2,umap,8,zz,250000,0.29903289675712585,0.36357563734054565,0.057352062314748764,20.7565860748291,141.44369506835938,0.9428571428571428,0.9933333333333333
gaussian,2,umap,8,angle_reupload,250000,0.06607384979724884,0.09439072012901306,0.00040107007953338325,4.170889377593994,11.024968147277832,0.5,0.5
gaussian,2,umap,10,zz,250000,0.29105105996131897,0.3453191816806793,0.051516707986593246,25.78614044189453,130.171142578125,0.9485714285714286,0.9866666666666667
gaussian,2,umap,10,angle_reupload,250000,0.03290300816297531,0.04374311491847038,3.0569146474590525e-05,4.189682960510254,2.963630437850952,0.5457142857142857,0.5666666666666667
gaussian,2,fs,2,zz,250000,0.03225024789571762,0.17734332382678986,0.06007186323404312,2.582728385925293,381.93975830078125,0.7171428571428572,0.7466666666666667
gaussian,2,fs,2,angle_reupload,250000,0.025137024000287056,0.11396849900484085,0.06735320389270782,2.1857950687408447,365.2996520996094,0.5257142857142857,0.5333333333333333
gaussian,2,fs,4,zz,250000,0.04967630282044411,0.2141728550195694,0.04989054054021835,5.7496137619018555,306.4419250488281,0.82,0.84
gaussian,2,fs,4,angle_reupload,250000,-0.013686656951904297,-0.049608245491981506,0.04469689726829529,2.278050422668457,218.25209045410156,0.3171428571428571,0.31333333333333335
gaussian,2,fs,6,zz,250000,0.07677683234214783,0.25349968671798706,0.04979561269283295,12.014528274536133,243.82479858398438,0.9228571428571428,0.9333333333333333
gaussian,2,fs,6,angle_reupload,250000,0.008995022624731064,0.04558583348989487,0.022271467372775078,2.2816803455352783,135.85252380371094,0.36857142857142855,0.3
gaussian,2,fs,8,zz,250000,0.07583577930927277,0.2199762761592865,0.046106867492198944,19.159164428710938,208.89242553710938,0.9342857142857143,0.9333333333333333
gaussian,2,fs,8,angle_reupload,250000,0.008437028154730797,0.03720243275165558,0.014574812725186348,2.2614035606384277,98.94274139404297,0.47714285714285715,0.4666666666666667
gaussian,2,fs,10,zz,250000,0.07906638830900192,0.1880647838115692,0.03845623508095741,34.196754455566406,165.1573944091797,0.9428571428571428,0.96
gaussian,2,fs,10,angle_reupload,250000,-0.002760087139904499,-0.009902474470436573,0.007274510804563761,2.355792760848999,62.745025634765625,0.36,0.38
