dataset,dr_method,dimension,embedding,kta_mean,kta_std,centered_kta_mean,centered_kta_std,variance_mean,variance_std,effective_rank_mean,effective_rank_std,fro_norm_mean,fro_norm_std,svm_train_acc_mean,svm_train_acc_std,svm_test_acc_mean,svm_test_acc_std
gaussian,pca,2,angle_reupload,0.030749915167689323,0.0,0.10830415785312653,0.0,0.07805580645799637,0.0,2.343958616256714,0.0,346.3926696777344,0.0,0.6447619047619048,0.06352459484058018,0.6111111111111112,0.026943012562182508
gaussian,pca,2,zz,0.01997888647019863,0.0,0.10249177366495132,0.0,0.05055829510092735,0.0,2.6781046390533447,0.0,374.60699462890625,0.0,0.6885714285714286,0.025714285714285717,0.6888888888888888,0.032885885748775004
gaussian,pca,4,angle_reupload,-0.0015912770759314299,0.0,-0.005197816528379917,0.0,0.03989025950431824,0.0,2.6303870677948,0.0,186.73675537109375,0.0,0.5066666666666667,0.10499109129683662,0.5288888888888889,0.10715167512214399
gaussian,pca,4,zz,0.04151316359639168,0.0,0.16312554478645325,0.0,0.04857167974114418,0.0,6.330955982208252,0.0,293.47943115234375,0.0,0.8580952380952381,0.0016495721976846809,0.8555555555555555,0.03288588574877493
gaussian,pca,6,angle_reupload,-0.0007569618755951524,0.0,-0.0034577639307826757,0.0,0.01689944975078106,0.0,3.022737979888916,0.0,115.2934799194336,0.0,0.47238095238095235,0.019448169387297282,0.4444444444444445,0.03671713698190734
gaussian,pca,6,zz,0.07692735642194748,0.0,0.24191492795944214,0.0,0.0449124351143837,0.0,15.370227813720703,0.0,223.41268920898438,0.0,0.920952380952381,0.011547005383792533,0.9288888888888889,0.01924500897298753
gaussian,pca,8,angle_reupload,0.011032288894057274,0.0,0.0448942631483078,0.0,0.010450059548020363,0.0,3.2262682914733887,0.0,81.90257263183594,0.0,0.4676190476190476,0.01836885859236754,0.45999999999999996,0.037118429085533464
gaussian,pca,8,zz,0.08294039964675903,0.0,0.2334480583667755,0.0,0.03632427752017975,0.0,29.357688903808594,0.0,180.61715698242188,0.0,0.9504761904761905,0.01081696827771481,0.9622222222222222,0.013877773329774256
gaussian,pca,10,angle_reupload,-0.022621186450123787,0.0,-0.03487682342529297,0.0,3.1534223126072902e-06,0.0,25.603429794311523,0.0,1.0142600536346436,0.0,0.4238095238095238,0.021444438569900387,0.4222222222222222,0.033554819712314436
gaussian,pca,10,zz,0.09032991528511047,0.0,0.17861080169677734,0.0,0.03322020173072815,0.0,47.488983154296875,0.0,137.49571228027344,0.0,0.9647619047619047,0.004364357804719812,0.9511111111111111,0.02036700308869265
gaussian,rp,2,angle_reupload,0.010239987634122372,0.0,0.030545473098754883,0.0,0.09536714106798172,0.0,2.521721363067627,0.0,340.0348205566406,0.0,0.42095238095238097,0.010033955955097863,0.4022222222222222,0.025239592648001203
gaussian,rp,2,zz,0.0075609274208545685,0.0,0.03929081931710243,0.0,0.0614120252430439,0.0,2.6643617153167725,0.0,377.3526306152344,0.0,0.6390476190476191,0.018368858592367553,0.6311111111111111,0.04337604732431808
gaussian,rp,4,angle_reupload,0.0002388873981544748,0.0,0.0009062563185580075,0.0,0.0499434731900692,0.0,1.9890894889831543,0.0,211.1658172607422,0.0,0.40285714285714286,0.010301575072754261,0.43333333333333335,0.011547005383792502
gaussian,rp,4,zz,0.04660705104470253,0.0,0.18800821900367737,0.0,0.057746097445487976,0.0,5.727338790893555,0.0,305.83209228515625,0.0,0.8114285714285714,0.021570955529344946,0.7799999999999999,0.024037008503093277
gaussian,rp,6,angle_reupload,-0.0022439141757786274,0.0,-0.010852574370801449,0.0,0.029504122212529182,0.0,1.96303129196167,0.0,143.62586975097656,0.0,0.4942857142857143,0.005714285714285713,0.49333333333333335,0.0
gaussian,rp,6,zz,0.048508092761039734,0.0,0.14186929166316986,0.0,0.06292311102151871,0.0,10.066366195678711,0.0,254.04904174804688,0.0,0.840952380952381,0.005947617141331832,0.8111111111111112,0.03288588574877502
gaussian,rp,8,angle_reupload,0.00547071686014533,0.0,0.02019716612994671,0.0,0.01858450658619404,0.0,2.0102157592773438,0.0,101.53643035888672,0.0,0.46285714285714286,0.017842851423995436,0.47333333333333333,0.017638342073763972
gaussian,rp,8,zz,0.03372562676668167,0.0,0.08701248466968536,0.0,0.05170097574591637,0.0,18.791648864746094,0.0,205.22669982910156,0.0,0.9228571428571429,0.0075592894601845565,0.88,0.030550504633038912
gaussian,rp,10,angle_reupload,0.020721666514873505,0.0,0.0637323409318924,0.0,0.008943368680775166,0.0,2.4320895671844482,0.0,64.90531158447266,0.0,0.47809523809523813,0.004364357804719836,0.4955555555555556,0.039063101847215446
gaussian,rp,10,zz,0.08236991614103317,0.0,0.17853914201259613,0.0,0.04162686690688133,0.0,32.580326080322266,0.0,163.12765502929688,0.0,0.9504761904761905,0.0043643578047198395,0.9244444444444445,0.02036700308869265
gaussian,umap,2,angle_reupload,0.08736556023359299,0.0,0.1638297587633133,0.0,0.09291719645261765,0.0,3.413893461227417,0.0,237.3420867919922,0.0,0.5133333333333333,0.01573591584938888,0.5355555555555556,0.023412563895228375
gaussian,umap,2,zz,0.1440815031528473,0.0,0.24034404754638672,0.0,0.0982891246676445,0.0,5.784405708312988,0.0,241.2210693359375,0.0,0.9180952380952382,0.01081696827771481,0.9222222222222222,0.013877773329774256
gaussian,umap,4,angle_reupload,0.06752608716487885,0.0,0.14093077182769775,0.0,0.011406478472054005,0.0,3.0910937786102295,0.0,69.03398895263672,0.0,0.4114285714285715,0.013093073414159525,0.4377777777777778,0.020367003088692617
gaussian,umap,4,zz,0.24958327412605286,0.0,0.40102657675743103,0.0,0.09461565315723419,0.0,7.464678764343262,0.0,227.5049285888672,0.0,0.9266666666666666,0.004364357804719809,0.9488888888888889,0.01539600717839004
gaussian,umap,6,angle_reupload,-0.06186502426862717,0.0,-0.09576703608036041,0.0,0.0007165235001593828,0.0,4.582363128662109,0.0,16.133440017700195,0.0,0.3857142857142857,0.044538449337485415,0.38888888888888884,0.02036700308869266
gaussian,umap,6,zz,0.24413134157657623,0.0,0.34281933307647705,0.0,0.08333741873502731,0.0,11.65597152709961,0.0,186.8518524169922,0.0,0.940952380952381,0.0016495721976846568,0.9555555555555556,0.010183501544346371
gaussian,umap,8,angle_reupload,0.06607384979724884,0.0,0.09439072012901306,0.0,0.00040107007953338325,0.0,4.170889377593994,0.0,11.024968147277832,0.0,0.5009523809523809,0.0016495721976846568,0.5,0.0
gaussian,umap,8,zz,0.29903289675712585,0.0,0.36357563734054565,0.0,0.057352062314748764,0.0,20.7565860748291,0.0,141.44369506835938,0.0,0.9523809523809524,0.008728715609439651,0.9733333333333333,0.017638342073763875
gaussian,umap,10,angle_reupload,0.03290300816297531,0.0,0.04374311491847038,0.0,3.0569146474590525e-05,0.0,4.189682960510254,0.0,2.963630437850952,0.0,0.5552380952380952,0.008728715609439728,0.5555555555555555,0.010183501544346277
gaussian,umap,10,zz,0.29105105996131897,0.0,0.3453191816806793,0.0,0.051516707986593246,0.0,25.78614044189453,0.0,130.171142578125,0.0,0.9580952380952382,0.008247860988423195,0.9733333333333333,0.011547005383792509
